Barcode NO.,Isc(A),Voc(V),Imp(A),Vmp(V),Pmax(W),Carton NO.,Pallet NO.,Cable Length,Connector,Country of Origin,Current Sorting
11702050170556,9.14,45.34,8.74,36.27,317.10,170520201802,2,1160mm,PV2b,CN,I3
11702050150778,9.24,45.36,8.82,36.17,319.00,170520201849,3,1160mm,PV2b,CN,I3
11702050151586,9.26,45.38,8.82,36.17,319.00,170520201849,3,1160mm,PV2b,CN,I3
11702050150142,9.27,45.49,8.77,36.22,317.90,170520201849,3,1160mm,PV2b,CN,I3
11702050151230,9.25,45.39,8.80,36.23,318.70,170520201849,3,1160mm,PV2b,CN,I3
11702050151441,9.29,45.38,8.80,36.23,318.70,170520201849,3,1160mm,PV2b,CN,I3
11702050171430,9.24,45.34,8.80,36.23,318.80,170520201849,3,1160mm,PV2b,CN,I3
11702050171617,9.22,45.43,8.84,36.02,318.60,170520201849,3,1160mm,PV2b,CN,I3
11702050171569,9.29,45.43,8.83,36.21,319.60,170520201849,3,1160mm,PV2b,CN,I3
11702050171485,9.27,45.54,8.78,36.43,319.90,170520201849,3,1160mm,PV2b,CN,I3
